event_id,title,theme,resolution_date,peak_probability,min_probability,probability_range,total_volume_usd,num_traders,num_history_points,suggested_action
,Will Nigel Farage win election to UK parliament?,electoral,2024-07-05,0.9725,0.69,0.2825,326337.44,,32,REVIEW_CAP
,Will U.S. Supreme Court vote to reinstate Trump on Colorado's 2024 ballot?,electoral,2024-03-04,0.92,0.235,0.685,244342.63,,75,REVIEW_CAP
,Will Cyril Ramaphosa be the next President of South Africa?,electoral,2024-06-15,0.9995,0.275,0.7245,97507.33,,64,REVIEW_CAP
,Trump sentenced to house arrest?,electoral,2024-11-05,0.435,0.0025,0.4325,36124.71,,158,REVIEW_CAP
,US debt ceiling hike by July 1?,fiscal_debt,2023-06-03,0.995,0.18,0.815,108835.7,,37,REVIEW
,Israel x Hezbollah Ceasefire in 2024?,geopolitical,2024-12-05,0.9995,0.25,0.7495,40061277.63,,72,REVIEW
,Will Israel invade Syria in 2024?,geopolitical,2024-12-21,0.9995,0.017,0.9825,16819559.74,,99,REVIEW
,Will Israel invade Lebanon before November?,geopolitical,2024-10-06,0.9995,0.09,0.9095,5313533.73,,60,REVIEW
,Israel x Hamas ceasefire in 2024?,geopolitical,2025-01-01,0.67,0.003,0.667,3950958.94,,147,REVIEW
,Another Iran strike on Israel in October?,geopolitical,2024-11-01,0.585,0.0055,0.5795,1770275.94,,30,REVIEW
,Will Israel invade Lebanon before September?,geopolitical,2024-09-01,0.645,0.0005,0.6445,1345780.16,,95,REVIEW
,Iran strike on Israel before December?,geopolitical,2024-12-01,0.53,0.0025,0.5275,1317271.58,,31,REVIEW
,Israel military action against Iran by end of 2024?,geopolitical,2024-10-26,0.9885,0.215,0.7735,934236.52,,150,REVIEW
,Iran military response before October?,geopolitical,2024-10-01,0.52,0.007,0.513,467982.23,,42,REVIEW
,Will Israel invade Lebanon before March?,geopolitical,2024-03-01,0.22,0.003,0.217,408699.99,,42,REVIEW
,Will Ukraine sever the land bridge between Crimea and Russia before Nov 1?,geopolitical,2023-11-01,0.36,0.0025,0.3575,249080.32,,147,REVIEW
,Will Israel invade Lebanon before May?,geopolitical,2024-05-01,0.185,0.0025,0.1825,186815.83,,43,REVIEW
, Israel and Hamas ceasefire in 2023?,geopolitical,2023-11-26,0.9795,0.185,0.7945,162833.31,,48,REVIEW
,Another Israel x Hamas ceasefire before February?,geopolitical,2024-02-01,0.775,0.0005,0.7745,123245.33,,50,REVIEW
,Will another nation declare war in the Israel-Hamas conflict?,geopolitical,2024-01-01,0.305,0.0205,0.2845,97301.03,,85,REVIEW
,Israel x Hamas ceasefire before April?,geopolitical,2024-04-01,0.755,0.0035,0.7515,85164.36,,39,REVIEW
,Next Israel x Hamas ceasefire in July?,geopolitical,2024-08-01,0.565,0.0015,0.5635,27059.76,,52,REVIEW
,No change in Fed interest rates after 2024 September meeting?,monetary_policy,2024-09-18,0.155,0.013,0.142,23499210.73,,55,REVIEW
,Fed decreases interest rates by 50 bps after December 2024 meeting?,monetary_policy,2024-12-18,0.41,0.0025,0.4075,9192309.53,,134,REVIEW
,Fed decreases interest rates by 50 bps after November 2024 meeting?,monetary_policy,2024-11-07,0.515,0.021,0.494,8393267.79,,97,REVIEW
,Fed rate cut by March 20?,monetary_policy,2024-03-21,0.63,0.0035,0.6265,1907759.26,,94,REVIEW
,Fed rate cut by July 31?,monetary_policy,2024-08-01,0.9105,0.001,0.9095,1727507.99,,170,REVIEW
,Fed rate cut by May 1?,monetary_policy,2024-05-02,0.885,0.0005,0.8845,1608415.7,,148,REVIEW
,Fed rate cut by June 12?,monetary_policy,2024-06-13,0.9695,0.0005,0.969,1253483.92,,134,REVIEW
,Fed emergency rate cut in 2024?,monetary_policy,2025-01-01,0.27,0.0005,0.2695,835804.64,,152,REVIEW
,Increase in ECB interest rates after 2024 December meeting?,monetary_policy,2024-12-12,0.165,0.0015,0.1635,399674.02,,43,REVIEW
,Will the Fed increase interest rates by 0 bps after its June meeting?,monetary_policy,2023-06-14,0.94,0.33,0.61,243878.27,,41,REVIEW
,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,monetary_policy,2024-03-20,0.3,0.0015,0.2985,197105.48,,49,REVIEW
,Will the Fed increase interest rates by 25 bps after its March meeting?,monetary_policy,2023-03-22,0.96,0.45,0.51,173828.12,,92,REVIEW
,Will the Fed increase interest rates by 25 bps after its May meeting?,monetary_policy,2023-05-03,0.955,0.35,0.605,161929.81,,51,REVIEW
,Will the Fed raise interest rates by 25 bps after its July meeting?,monetary_policy,2023-07-26,0.985,0.5,0.485,133986.71,,44,REVIEW
,Will the Fed raise rates again in 2023?,monetary_policy,2024-01-01,0.505,0.001,0.504,96772.63,,118,REVIEW
,Will the Fed decrease interest rates by 25 bps after its January meeting?,monetary_policy,2024-01-31,0.51,0.0065,0.5035,58887.6,,54,REVIEW
,Will the Fed raise interest rates by 0 bps after its September meeting?,monetary_policy,2023-09-20,0.98,0.5,0.48,56371.17,,63,REVIEW
,Will the Fed increase interest rates by 50 bps after its February meeting?,monetary_policy,2023-02-01,0.5,0.02,0.48,44782.06,,125,REVIEW
,Will the Fed raise interest rates by 0 bps after its December meeting?,monetary_policy,2023-12-13,0.991,0.5,0.491,29458.06,,51,REVIEW
,Will the Fed raise interest rates by 25 bps after its November meeting?,monetary_policy,2023-11-01,0.45,0.015,0.435,19316.12,,43,REVIEW
,"Will the Ethereum Merge (EIP-3675) occur by October 1, 2022?",trade_technology,2022-09-15,0.5,0.5,0.0,622044.37,,78,REVIEW
