rank,event_id,question,cumulative_hazard,hazard_share_within_theme,hazard_share_total,active_days,first_date,last_date
1,monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_march_meeting_2023,Will the Fed increase interest rates by 25 bps after its March meeting?,192.9032899950384,0.11565134153987315,0.05124220889170485,65,2023-02-03,2023-05-17
2,monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_september_meeting_2023,Will the Fed raise interest rates by 0 bps after its September meeting?,165.52610393734594,0.09923789262855452,0.0439698213296709,44,2023-07-20,2023-09-20
3,monetary_policy_will_the_fed_increase_interest_rates_by_50_bps_after_its_february_meeting_2023,Will the Fed increase interest rates by 50 bps after its February meeting?,158.40334530840235,0.0949675839628847,0.042077754659585034,86,2022-12-16,2023-05-17
4,monetary_policy_will_the_fed_raise_interest_rates_by_0_bps_after_its_december_meeting_2023,Will the Fed raise interest rates by 0 bps after its December meeting?,144.5014517668399,0.08663297941535443,0.03838490041710266,36,2023-10-24,2023-12-13
5,monetary_policy_fed_rate_cut_by_may_1_2024,Fed rate cut by May 1?,134.48565790225786,0.08062820885361058,0.03572433718130523,101,2023-12-07,2024-05-02
6,monetary_policy_fed_rate_cut_by_july_31_2024,Fed rate cut by July 31?,128.78257050144822,0.07720903591550389,0.03420938740555255,117,2024-02-14,2024-08-01
7,monetary_policy_fed_rate_cut_by_june_12_2024,Fed rate cut by June 12?,118.96666160087592,0.07132410241948334,0.03160192096805422,93,2024-02-01,2024-06-13
8,monetary_policy_will_the_fed_increase_interest_rates_by_25_bps_after_its_may_meeting_2023,Will the Fed increase interest rates by 25 bps after its May meeting?,116.7211180724119,0.0699778313343208,0.031005422014801894,37,2023-03-23,2023-05-17
9,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_july_meeting_2023,Will the Fed raise interest rates by 25 bps after its July meeting?,115.12890819377327,0.06902325348091906,0.030582472508846163,30,2023-06-13,2023-07-26
10,monetary_policy_will_the_fed_increase_interest_rates_by_0_bps_after_its_june_meeting_2023,Will the Fed increase interest rates by 0 bps after its June meeting?,101.4225663148834,0.060805888054240594,0.026941563980446975,29,2023-05-04,2023-06-14
11,monetary_policy_fed_decreases_interest_rates_by_50_bps_after_november_2024_meeting_2024,Fed decreases interest rates by 50 bps after November 2024 meeting?,64.40484632749884,0.03861264823236656,0.017108296023550094,68,2024-08-05,2024-11-07
12,monetary_policy_fed_rate_cut_by_march_20_2024,Fed rate cut by March 20?,57.46479756431358,0.0344518796429083,0.015264763813959973,64,2023-12-19,2024-03-21
13,monetary_policy_fed_decreases_interest_rates_by_50_bps_after_december_2024_meeting_2024,Fed decreases interest rates by 50 bps after December 2024 meeting?,53.97732566412731,0.032361035034454366,0.014338363006498926,94,2024-08-07,2024-12-18
14,monetary_policy_will_the_fed_raise_rates_again_in_2023_2024,Will the Fed raise rates again in 2023?,52.9545483805175,0.031747849199474446,0.01406667574176761,81,2023-09-06,2023-12-29
15,monetary_policy_fed_emergency_rate_cut_in_2024_2025,Fed emergency rate cut in 2024?,21.396845194612407,0.01282805415885629,0.005683789069196285,104,2024-08-05,2024-12-31
16,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_november_meeting_2023,Will the Fed raise interest rates by 25 bps after its November meeting?,18.708944086962887,0.011216576360659206,0.004969783672803283,31,2023-09-20,2023-11-01
17,monetary_policy_no_change_in_fed_interest_rates_after_2024_september_meeting_2024,No change in Fed interest rates after 2024 September meeting?,8.982335084536322,0.005385180847428858,0.0023860385727425292,38,2024-07-26,2024-09-18
18,monetary_policy_will_the_fed_decrease_interest_rates_by_25_bps_after_its_january_meeting_2024,Will the Fed decrease interest rates by 25 bps after its January meeting?,7.211156003211836,0.004323305558169636,0.001915548263986356,35,2023-12-11,2024-01-31
19,monetary_policy_will_the_fed_raise_interest_rates_by_25_bps_after_its_2024_march_meeting_2024,Will the Fed raise interest rates by 25+ bps after its 2024 March meeting?,4.424651355020002,0.0026527119629086806,0.0011753501405431265,34,2024-02-01,2024-03-20
20,monetary_policy_increase_in_ecb_interest_rates_after_2024_december_meeting_2024,Increase in ECB interest rates after 2024 December meeting?,1.6056596516073456,0.000962641398027017,0.0004265222603448696,30,2024-10-31,2024-12-12
