k,sortino,cagr,downside_dev,mdd,rsi_min,rsi_max
0.0,0.7326954261970706,0.13986665303738866,0.15128034979394706,-0.33717284428360483,1.0,1.0
0.05,0.6784572709796416,0.13077444510061453,0.15158423890610323,-0.33717284428360483,0.682032880212608,1.2150368913299006
0.1,0.6447270410450191,0.12533910466226028,0.15233670673175878,-0.33717284428360483,0.5174885397160971,1.5478904395754858
0.15,0.6266673106403493,0.12272584943038001,0.1537095161649423,-0.33717284428360483,0.41690727152326346,2.1319196316329885
0.2,0.6305690507245022,0.12413965899269241,0.15632451002813447,-0.33717284428360483,0.3490620838890496,3.4237064974296807
0.25,0.6959681523183717,0.13740315656448865,0.1636973779656668,-0.33717284428360483,0.3,8.69
0.3,1.082061024511486,0.19367230015729398,0.23181683632275105,-0.43221352250429146,-73.73942371992648,43.64420011295384
0.35,-0.4530378181338253,-0.5423034888005183,0.8046637566379049,-1.259718892395892,-300.4867895870195,58.60577798909057
0.4,-0.3969822617564274,-0.3054760976122258,0.4420960035495843,-0.9089209129883778,-61.11734325908607,41.35643573239526
0.45,-0.5104792448280918,(-0.40857240550866425+0.42835015654119485j),0.6944166523191009,-1.1228226220146305,-38.25012818983717,57.30897379318304
0.5,4.599046502337798,0.524743406777781,0.26798487781649677,-0.4488446859611547,-294.48,23.12
0.55,-0.5819795345407262,(0.016330354134241665+0.7360922458570676j),4.6909901556810825,-1.528232955446483,-313.4872187345239,765.6802747358839
0.6,2.554956742052156,0.5137706574607792,0.23721303304241756,-0.3559423988393382,-237.32256065687255,24.02185852334513
0.65,-0.4745774131839546,0.41947367348496467,1.8072805195706734,-2.223401240523323,-839.0991071305414,268.56073233140256
0.7,0.5261272642864584,0.0411793200854067,0.34236384453495267,-0.6364238513155005,-133.9267185587209,34.20355872182526
0.75,0.43852322490768825,0.09248211636334824,0.17330115466910093,-0.33717284428360483,-24.935473109019842,11.897814708048887
0.8,0.18569323695872672,0.04526106327831236,0.20436063318013906,-0.37421264432309886,-9.137114297889518,43.50540210138849
0.85,0.9356303665390717,0.1752972516056266,0.16006876652843632,-0.33717284428360483,-26.262058993089404,54.48009761969345
0.9,0.7707382139523999,0.14253933037174038,0.16745692349258315,-0.33717284428360483,-25.388135448267224,36.014353169491415
0.95,-0.12444674093150175,-0.04387144388762132,0.2590408946268975,-0.4848088296504255,-38.100675975930635,11.88505501280703
1.0,0.08869018094137701,0.026378160074570722,0.194961620694563,-0.33717284428360483,-12.46,27.83
