date,event_id,category,structural_theme,question,event_probability,hazard_contribution,probability_factor,severity_factor,velocity_factor,persistence_factor,probability_component_hazard,severity_component_hazard,velocity_component_hazard,persistence_component_hazard,category_weight,severity_scale_weight,days_to_resolution,horizon_units,decay_rate,decay_factor,proxy_family_id,proxy_relation,aggregation_policy,family_aggregation_policy,event_aggregation_policy,event_window_start,event_window_end,quality_score,proxy_family_count,family_proxy_count,dominant_family_market_id,dominant_family_question,dominant_family_probability,dominant_event_market_id,dominant_event_question,dominant_event_probability,total_hazard,rsi,rsi_drag,event_rank_by_hazard,event_hazard_share,category_hazard_share,theme_hazard_share,dominant_event_flag,dominant_category_flag,dominant_theme_flag
2020-01-21,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.020813,0.12647179680545018,0.020813,0.8,0.8607079764250578,0.8824969025845955,0.0010266143338784122,0.03946050387271079,0.04245496304624258,0.043529715552618385,8.0,10.0,55,1.8333333333333333,0.15,0.7595721232249685,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.020813,,Will COVID-19 trigger a global market panic by March 2020?,0.020813,0.12647179680545018,0.8877275071030538,0.11227249289694619,1,1.0,1.0,1.0,True,True,True
2020-01-22,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.023212,0.14175651858037627,0.023212,0.8,0.8607079764250578,0.8869204367171575,0.0012799130947478501,0.04411211768905222,0.04745956443996016,0.048904923356616045,8.0,10.0,54,1.8,0.15,0.7633794943368531,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.023212,,Will COVID-19 trigger a global market panic by March 2020?,0.023212,0.14175651858037627,0.8758434777699963,0.12415652223000373,1,1.0,1.0,1.0,True,True,True
2020-01-23,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.02714,0.1665757558587578,0.02714,0.8,0.8607079764250578,0.8913661439068313,0.0017528075619502848,0.05166713520855667,0.05558789424129583,0.057567918846955037,8.0,10.0,53,1.7666666666666666,0.15,0.7672059499758557,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.02714,,Will COVID-19 trigger a global market panic by March 2020?,0.02714,0.1665757558587578,0.8572096539618763,0.14279034603812368,1,1.0,1.0,1.0,True,True,True
2020-01-24,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.032536,0.20069547516563868,0.032536,0.8,0.8607079764250578,0.8958341352965282,0.0025220668122860404,0.06201295333872732,0.0667188044753969,0.06944165053922842,8.0,10.0,52,1.7333333333333334,0.15,0.7710515858035663,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.032536,,Will COVID-19 trigger a global market panic by March 2020?,0.032536,0.20069547516563868,0.8328506442168842,0.16714935578311585,1,1.0,1.0,1.0,True,True,True
2020-01-27,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.056953,0.356618972531913,0.056953,0.8,0.8607079764250578,0.9093729344682314,0.007731350653065497,0.10859973175166186,0.11684081919534622,0.1234470709318394,8.0,10.0,49,1.6333333333333333,0.15,0.7827045382418681,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.056953,,Will COVID-19 trigger a global market panic by March 2020?,0.056953,0.356618972531913,0.7371266510696511,0.26287334893034886,1,1.0,1.0,1.0,True,True,True
2020-01-28,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.067638,0.42564748213455633,0.067638,0.8,0.8607079764250578,0.9139311852712282,0.010895883601451783,0.12887292470447714,0.1386524427979617,0.14722623103066568,8.0,10.0,48,1.6,0.15,0.7866278610665534,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.067638,,Will COVID-19 trigger a global market panic by March 2020?,0.067638,0.42564748213455633,0.7014356722341669,0.2985643277658331,1,1.0,1.0,1.0,True,True,True
2020-01-29,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.079499,0.5027967357970788,0.079499,0.8,0.8607079764250578,0.9185122844014574,0.015034245355677734,0.15128990659684005,0.16277053670062774,0.17370204714393334,8.0,10.0,47,1.5666666666666667,0.15,0.7905708496287356,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.079499,,Will COVID-19 trigger a global market panic by March 2020?,0.079499,0.5027967357970788,0.6654259862160288,0.3345740137839712,1,1.0,1.0,1.0,True,True,True
2020-01-30,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.092476,0.5878023154007865,0.092476,0.8,0.8607079764250578,0.9231163463866358,0.02031072763235166,0.17570593565769854,0.18903937540726137,0.20274627670347498,8.0,10.0,46,1.5333333333333334,0.15,0.7945336025033339,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.092476,,Will COVID-19 trigger a global market panic by March 2020?,0.092476,0.5878023154007865,0.6298013236915982,0.37019867630840175,1,1.0,1.0,1.0,True,True,True
2020-01-31,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.106511,0.6804060878102401,0.106511,0.8,0.8607079764250578,0.9277434863285529,0.026891184504554706,0.20197864637120827,0.2173057899990438,0.23423046693543334,8.0,10.0,45,1.5,0.15,0.7985162187593771,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.106511,,Will COVID-19 trigger a global market panic by March 2020?,0.106511,0.6804060878102401,0.5950942496900339,0.4049057503099661,1,1.0,1.0,1.0,True,True,True
2020-02-03,covid_crash_2020,Sovereign,systemic_credit,Will COVID-19 trigger a global market panic by March 2020?,0.154375,1.0010715437731814,0.154375,0.8,0.8607079764250578,0.9417645335842487,0.056056934236984046,0.29049747296898615,0.3125418651446612,0.34197527142255013,8.0,10.0,42,1.4,0.15,0.8105842459701871,covid_crash_2020,substitute,,weighted_average,max,2020-01-20,2020-04-15,0.5,1,1,,Will COVID-19 trigger a global market panic by March 2020?,0.154375,,Will COVID-19 trigger a global market panic by March 2020?,0.154375,1.0010715437731814,0.49973225750560596,0.500267742494394,1,1.0,1.0,1.0,True,True,True
