strategy,metric,reconstructed,paper,delta
buy_hold,cagr,0.13986665303738866,0.123,0.016866653037388657
buy_hold,total_return,0.9272900371855168,0.782,0.1452900371855168
buy_hold,volatility,0.20974567210456307,0.182,0.02774567210456308
buy_hold,max_drawdown_daily,-0.33717284428360483,,
buy_hold,max_drawdown_monthly,-0.23927177170136427,-0.254,0.014728228298635737
buy_hold,downside_deviation,0.15128034979394706,0.131,0.02028034979394705
buy_hold,cvar_95,-0.031752301514836254,-0.032,0.00024769848516374704
buy_hold,sharpe,0.7296598811665918,0.45,0.27965988116659174
buy_hold,sortino,0.7326954261970706,0.61,0.12269542619707063
buy_hold,calmar,0.41482182034726134,0.48,-0.06517817965273864
buy_hold,avg_position,1.0,1.0,0.0
buy_hold,days_in_90pct_cash,0,0,0
buy_hold,max_consecutive_cash_days,0,0,0
vol_target,cagr,0.11455845880437043,0.101,0.013558458804370427
vol_target,total_return,0.7221659943150713,0.615,0.10716599431507134
vol_target,volatility,0.12087219245466527,0.125,-0.004127807545334733
vol_target,max_drawdown_daily,-0.1513719210528892,,
vol_target,max_drawdown_monthly,-0.14784632848872492,-0.182,0.034153671511275074
vol_target,downside_deviation,0.08804439634312769,0.092,-0.0039556036568723085
vol_target,cvar_95,-0.018115977674525694,-0.021,0.002884022325474307
vol_target,sharpe,0.9580226974426992,0.52,0.43802269744269917
vol_target,sortino,0.8359160276243035,0.74,0.09591602762430351
vol_target,calmar,0.7568012482601962,0.55,0.2068012482601962
vol_target,avg_position,0.7728703440351815,0.82,-0.04712965596481844
vol_target,days_in_90pct_cash,0,12,-12
vol_target,max_consecutive_cash_days,0,31,-31
cassandra,cagr,0.17843923814756701,0.109,0.06943923814756701
cassandra,total_return,1.2771144982652305,0.673,0.6041144982652304
cassandra,volatility,0.14766587315090726,0.148,-0.0003341268490927307
cassandra,max_drawdown_daily,-0.20268394783484522,,
cassandra,max_drawdown_monthly,-0.19667299304635633,-0.141,-0.05567299304635634
cassandra,downside_deviation,0.10256815802964292,0.087,0.015568158029642926
cassandra,cvar_95,-0.021260415375794595,-0.018,-0.003260415375794596
cassandra,sharpe,1.18612588474567,0.68,0.5061258847456699
cassandra,sortino,1.2962086399556272,0.92,0.37620863995562714
cassandra,calmar,0.8803816979772184,0.77,0.11038169797721842
cassandra,avg_position,0.8408894064296923,0.73,0.11088940642969236
cassandra,days_in_90pct_cash,1,48,-47
cassandra,max_consecutive_cash_days,1,57,-56
cassandra,paranoia_tax,0.03857258511017836,-0.012,0.050572585110178356
