date,threshold,direction,rsi,hazard
2020-01-27,0.8,down,0.737127,0.356619
2020-02-03,0.5,down,0.499732,1.001072
2020-02-13,0.3,down,0.290374,2.443839
2020-04-06,0.3,up,0.379094,1.63787
2020-04-09,0.5,up,0.53443,0.871153
2020-04-13,0.8,up,0.802297,0.246421
2022-02-22,0.8,down,0.405162,1.46815
2022-02-22,0.5,down,0.405162,1.46815
2022-02-23,0.3,down,0.114276,7.750771
2022-02-25,0.8,up,1.0,0.0
2022-02-25,0.5,up,1.0,0.0
2022-02-25,0.3,up,1.0,0.0
2022-04-11,0.8,down,0.780754,0.280813
2022-05-04,0.5,down,0.493414,1.026695
2022-06-06,0.3,down,0.292572,2.417967
2022-06-22,0.3,up,0.306756,2.259922
2022-07-05,0.5,up,0.549771,0.818938
2022-07-13,0.8,up,0.813233,0.22966
2023-02-15,0.8,down,0.778067,0.285237
2023-02-22,0.5,down,0.494327,1.022953
2023-03-01,0.3,down,0.289128,2.45868
2023-03-15,0.3,up,0.324618,2.080547
2023-03-20,0.5,up,0.580091,0.723868
2023-03-24,0.8,up,0.807231,0.238803
2023-04-06,0.8,down,0.795917,0.256412
2023-04-24,0.5,down,0.246159,3.06242
2023-04-24,0.3,down,0.246159,3.06242
2023-06-05,0.3,up,0.381148,1.62365
2023-06-20,0.5,up,0.522363,0.914379
2023-10-09,0.5,down,0.433717,1.30565
2023-10-20,0.3,down,0.276298,2.619287
2023-10-23,0.5,up,0.638454,0.566285
2023-10-23,0.3,up,0.638454,0.566285
2024-01-02,0.8,up,0.885668,0.129092
2024-01-03,0.8,down,0.712739,0.403038
2024-01-04,0.8,up,0.814371,0.227942
2024-01-08,0.8,down,0.710122,0.408208
2024-02-02,0.8,up,0.81049,0.233821
2024-02-05,0.8,down,0.790719,0.264672
2024-07-29,0.5,down,0.477495,1.094265
2024-08-07,0.5,up,0.505684,0.977521
2024-10-28,0.5,down,0.425827,1.348373
2024-11-04,0.3,down,0.296507,2.372605
2024-11-14,0.3,up,0.301402,2.317832
2024-11-25,0.5,up,0.542425,0.843574
2024-12-18,0.8,up,0.906908,0.102647
